rab.all	rab.win.0	rab.win.1	diff.btw	diff.win	diff.btw.025	diff.btw.975	diff.win.025	diff.win.975	effect	effect.025	effect.975	overlap	we.ep	we.eBH	wi.ep	wi.eBH
8	4.32347254365413	5.48144959593524	3.83315309427433	-1.85637304461206	1.52091535882983	-4.50422589072528	0.992639776435618	0.099154039753302	3.60345446978548	-1.25631888035898	-21.0788376228725	0.756414104440594	0.0742192424605441	0.0026825963556452	0.37764551484766	0.00196678321678322	0.333637947700448
61	1.68694973298307	3.02720970814703	0.615077109152889	-1.94397883184464	1.44955362441725	-4.08274835566748	1.09803473621826	0.180356472654696	3.74581017421299	-1.19977303268245	-9.98411507701163	0.950832415813872	0.115010046018876	0.00539154589630181	0.390468550012003	0.0111645299145299	0.482717871873066
17	3.75974986022546	4.73501991259417	2.84831917716685	-1.70668489545028	1.47744876820275	-3.64331147930915	0.892821941680414	0.14368825765369	2.73192989377595	-1.14447216443515	-13.5062212411196	0.748602876058252	0.0859379189065891	0.00434185241086771	0.379894551719803	0.00366647241647242	0.349987439258273
68	1.04884889211029	0.48772355644094	2.57131263309132	2.11957618254295	1.93265674036373	-1.25713509055245	4.99121688582172	0.134983153364973	5.19788254780464	1.11328848506888	-1.19839768828115	18.3489270299974	0.130859632935921	0.0131566078922006	0.592976617397203	0.013013548951049	0.531315002759618
39	0.604750288842885	-0.21864339504469	2.35830139834678	1.86854984735905	3.08562810910144	-2.86190215303362	5.87273059625529	0.242913066125078	4.67172248436788	0.864988711298177	-1.23492900359269	13.6785757493136	0.128655232989306	0.0212072449073573	0.671456477730741	0.0119075369075369	0.497471216339843
1854	2.38629943538672	2.59111398216328	1.56906958452266	-0.862034809474204	0.977790367209302	-2.35697227611901	1.00348388245586	0.119608034756801	2.07394212248612	-0.857035655650175	-8.71940309214497	1.00994716878727	0.18750016302049	0.0266777602720529	0.687443681925601	0.0449579933954934	0.752847788885393
1477	-5.25758737026365	-6.72484167058521	-3.99555600002951	3.25219305099354	3.67929591108775	-2.32895169139003	12.5864744708032	0.584602777742522	12.3794291531435	0.81945247597101	-0.88302064842081	8.61330150898107	0.148148368857356	0.0233774905067095	0.578219512841253	0.0299388111888112	0.577196729409547
11	2.59237472326795	5.46923769766332	1.98064385516195	-2.97951033346713	3.48934738049154	-8.23109062528638	3.77505677772902	0.494908101494594	8.83757676268788	-0.754565558809265	-7.76801211352105	2.11573289780569	0.216374401425912	0.0465665695867259	0.74233909429066	0.0773127913752914	0.796146611790116
31	3.40374760550247	3.87722330325058	3.24941307672755	-0.587869816796316	0.745317057843775	-2.20518343366278	0.823507836728116	0.0779379171178929	1.99257679481416	-0.73611580021192	-7.94833618379084	1.39328178637276	0.197265776934169	0.0549631081690902	0.742333167692427	0.0451473873348873	0.734371749405136
24	4.382571483093	4.68700928844903	3.43802049075166	-1.14357952256998	1.46133403382097	-3.35672260974445	1.84713505072789	0.107632985149942	3.6057129636281	-0.734685561458497	-12.4174280306737	2.79341859541135	0.23976619489039	0.0934557856415985	0.773337357387782	0.0857784576534576	0.807095697742113
131	-3.07766370241692	-1.93820266897011	-6.08205231268489	-3.7283205947595	4.31551352273019	-11.9167678605433	5.25940721165296	0.421124514904371	11.5997890192924	-0.731706198973691	-8.0023688731791	2.50429065925119	0.22265637734671	0.0666537893069251	0.722274127518877	0.0738854895104895	0.77713602593048
740	-1.87971816307331	-0.776911035326856	-1.8500222398316	-1.56711087807618	2.07227862564508	-6.35043299653072	1.25568325577891	0.239604953431783	5.3771664982217	-0.723204976864976	-9.54167151292626	1.10281062509222	0.19335953124326	0.0382662367893486	0.710100359238998	0.0571872571872572	0.741343296643069
982	1.34486926863695	2.20879118788292	1.42011532874038	-0.843991944157681	1.42834867203895	-3.25709303551542	0.904120060517424	0.112866551804889	2.52382631998566	-0.714189236456521	-9.67351737365679	1.21537987976681	0.23976619489039	0.0423571461779425	0.726798390365331	0.0907828282828283	0.810344488885878
168	-2.95132779731498	-4.49727410984037	-2.11559918095964	2.38039061695803	2.90411908655806	-2.92241861659473	9.47298437275801	0.41108344806749	9.08828725160333	0.707596289067911	-1.49136627671259	7.47540371972307	0.212475769554896	0.0604567834239369	0.724876674215499	0.0685436091686092	0.769319143916256
1077	4.75692325896148	5.43257946254509	4.51016758005842	-0.834007074410921	1.19672090974238	-2.87560038147233	1.61777748537624	0.137478663785491	2.97512550329835	-0.689193968438529	-8.01125770954396	1.95879077822832	0.224609500666088	0.0814518412097043	0.760146596140711	0.0894643550893551	0.807324515114285
99	-0.965642867540648	0.402637119066418	-2.08559968792003	-1.72585643196007	2.69816126048472	-6.11316875812324	3.24432204601668	0.223399561642904	5.25384472146693	-0.665512491232592	-9.75866536897705	2.06759043360865	0.238281364595571	0.0963803047856266	0.774788727524626	0.107604895104895	0.828898505300665
1370	1.4812693775984	1.76073533289759	0.992817870355283	-0.639301881761594	0.994684656346774	-2.37506978671022	1.00935472894517	0.154077087101456	2.01314486072481	-0.665110720030432	-6.80541185451364	1.32202374043151	0.230468870778116	0.0687010405651647	0.75152590888287	0.0863891317016317	0.801458199480716
1558	3.45914418518679	4.21069191996686	3.21694163788177	-0.88073963145901	1.23163653870011	-2.74387533052829	1.5034951958869	0.097118480317454	2.51586251032957	-0.657046938045642	-10.98015404315	1.99610674273737	0.272904574031049	0.0737413486741983	0.755183948437127	0.103269473581974	0.825048041020104
150	-0.967204997187148	0.066147631188529	-1.27116384081835	-1.23464493167488	1.93254932885858	-4.43282470040894	1.867278352727	0.224849429996619	4.22484357817498	-0.652438676788912	-8.86857412278881	1.92223363353326	0.285156333761906	0.0851439280173841	0.76413430653817	0.187548562548563	0.887146854105426
226	-4.75776158786705	-5.96040973177226	-3.73228768365377	2.08016426894627	2.89457777121043	-2.7438828228864	9.59526859407313	0.472067829597489	9.91527161796212	0.651500876494628	-1.40080218860695	7.41671103512166	0.216374401425912	0.0679262387148707	0.720367162573994	0.0804414335664336	0.740624895850872
30	2.66173552854894	2.88276693006873	1.91938007362688	-1.20997802731556	1.90338318903558	-4.59662492358343	1.75803794540005	0.14774745316976	3.79278926869695	-0.642152218958926	-8.40877032735952	1.57904147788781	0.261208674954343	0.0647107244242189	0.751217327101293	0.108171862859363	0.832468880347852
210	-4.55954681133169	-6.42046199686635	-3.47966074420061	2.86058751953732	4.0626440755886	-5.68111653473879	11.6574353319468	0.578561800234297	12.8706249734492	0.638741837463102	-1.76916819047246	9.27798587695008	0.228070297712318	0.116833609003213	0.751800702902612	0.0784370143745144	0.761979477644247
23	4.03003804519935	4.60186359537261	3.50630352193491	-1.02686135640751	1.2508505509167	-2.7267895087646	2.11077608490284	0.128625448473654	3.67802643737226	-0.627538303560036	-8.75837452116595	3.93026933163055	0.246093858760963	0.17791188186002	0.823305684967805	0.112372523310023	0.840102881504747
139	-2.80994868081993	-3.41953195687442	-2.06461006937641	1.38637134305469	2.03335301868996	-1.47681099741494	7.93456660839253	0.377945412661297	7.09578043744066	0.591976091980924	-1.01453606328183	8.3445484608342	0.206627821981249	0.0661565680319162	0.743625954324983	0.0555749805749806	0.715638125194055
1604	0.800330908775931	0.667446791352574	1.68812776730041	1.82204056555641	3.16969722822483	-2.64151251117039	7.66457617567641	0.258044154621225	6.69839602223467	0.566334476956066	-1.49491148661854	8.57154910760467	0.285156333761906	0.0973297808908802	0.775687991549657	0.216217463092463	0.931353521654023
88	1.73508151132629	2.6235473923926	1.78312813137538	-0.778551055898693	1.32166468913074	-2.59013293996127	1.96297353180576	0.15458971432754	2.62334807037909	-0.550836811202064	-7.75909486500952	1.85202105729072	0.296875077334827	0.147792118743991	0.818275784005967	0.182360868298368	0.911054179934158
89	0.0173821420279223	-0.644469158242455	0.546249888593665	1.22736725023438	2.08612024089686	-1.84681736112398	6.49316742871128	0.142794811917102	6.29860050590869	0.538826859164685	-1.99942660687433	12.865077744494	0.220703254054153	0.0861802522151471	0.770869822765576	0.0727624805749806	0.790698410288615
141	-2.21120034171634	-2.88222346026843	-1.89714219041537	1.71653813742074	4.0730059407127	-1.44095573485528	11.3329139291628	0.262946583414028	9.88651876703065	0.535504899833161	-0.834955439447885	16.7411916701165	0.197265776934169	0.0469776287676945	0.725405114404671	0.0798416860916861	0.729513897703433
142	-2.62850088548206	-3.2434881104118	-2.09205182987765	1.22028108739969	2.44593734761334	-3.42047866481916	5.98363440368214	0.352607030502446	6.51898155783387	0.533997662917306	-2.22203472065579	6.49518465089188	0.261718848005601	0.169641791254806	0.811047252995729	0.144183420745921	0.853197264448672
1243	-2.4612286391455	-3.03767760323105	-1.60374670542944	1.33463454814625	2.29068584882313	-2.79053911381439	5.91082927381623	0.343394782901948	5.40898585158934	0.521524288026458	-1.89245053955818	6.03945571139767	0.272904574031049	0.121876348590677	0.788170606211457	0.137937062937063	0.853003700319902
215	-2.61439460071	-3.50614101060566	-2.1837511824967	1.48903515574472	2.29481212370713	-2.5133787655657	9.21477915331772	0.333339112124378	8.54610373840866	0.506928667880272	-1.37442552007206	8.01143264209169	0.247563460106543	0.115504907148224	0.789895251477021	0.112245046620047	0.822489670554716
129	-4.97207340874369	-3.87704585444892	-7.34872856690373	-2.72729529974882	4.88815359940626	-12.6817433622094	7.5727854906259	0.798831412561855	14.5164585344264	-0.499439352922249	-5.12453069659115	2.41408760998858	0.280701840367273	0.213537746012252	0.805349884282488	0.176078088578089	0.866145468017353
47	3.02991410582647	2.95110907509741	3.17069084199358	0.357009613399774	0.766321003347788	-1.11558331190716	1.65724603441925	0.0787838787047467	1.76385731879272	0.489382359779487	-2.52290463019651	9.06380785550149	0.250000105963513	0.16023181362496	0.818777411952857	0.141241744366744	0.862050070108578
14	3.18152457129576	4.34260405555984	2.16589651324262	-1.21748429618469	2.89539655974059	-5.76433721703616	5.4044857335735	0.168770678892684	6.43346907255356	-0.489016092917009	-10.9526957040139	3.21719209400585	0.270955257481251	0.187845441823093	0.824370541463421	0.144004953379953	0.880348802479851
4	5.8559887561106	6.00196461780129	5.6109180844706	-0.468344678739511	0.87257565564022	-2.03051298291354	1.16688460966718	0.0846109725580821	2.02202992233612	-0.47361985962354	-7.32328707448031	2.1003255353619	0.308593821294109	0.167262080812507	0.822127825520595	0.214157196969697	0.933109279499328
97	0.253189155452269	-0.205119676510756	-0.888054904598539	-0.880277598394279	2.26229436844818	-5.30004353435491	1.84297473064524	0.154300233101089	5.24361689974595	-0.46794721707913	-12.7334111074194	2.14139460275014	0.212475769554896	0.0839699814436457	0.764586785656764	0.0703428515928516	0.78406314591054
22	3.62143264089867	3.85613562188421	3.16892321499317	-0.864340890892775	1.53232402217572	-3.80469585075817	1.94094959734847	0.125527075871071	3.95241878689555	-0.459530404275234	-7.98151752716343	3.62594316371399	0.324218813759705	0.189898138793889	0.824814712419722	0.277749854312354	0.944214536673222
1127	3.15951399601229	3.14349729340611	2.78735851856303	-0.232058611985174	0.551783258247147	-1.12845603574652	0.673876796830558	0.0658190708850162	1.02203868166317	-0.452508919670789	-7.24921380580136	2.18689633373821	0.292968829431705	0.230505999862186	0.845843985859435	0.192334401709402	0.901749630466388
1	6.85707116367902	7.0281101532065	6.68273322249359	-0.469633868153481	1.15005533230719	-2.74313727059356	1.26511690903876	0.105757231775545	2.43091538376532	-0.436879358344234	-7.96621115317393	1.77323118166408	0.298828201302579	0.174879485606123	0.822909793065688	0.23196993978244	0.938779004522991
1042	1.70787058651453	2.44309803676873	1.59216559558667	-0.60842522313538	1.28423729399834	-2.43293904643382	2.5253541921576	0.116826330886246	2.99284935580372	-0.435328640672172	-6.11256291746802	3.48358025452427	0.328125061958791	0.326017167775593	0.887419900257367	0.2683614996115	0.932752194271308
984	2.87078766222321	2.44174297145727	3.04610688581535	0.666530302502301	1.50803432876409	-1.83389501055271	3.64558517689156	0.207765452313044	3.71193469353034	0.428475873483641	-2.18128993008056	6.62347768214062	0.291015705496819	0.141439761951865	0.81143407736279	0.186234945609946	0.914678471709617
149	-0.950181896180248	-0.815327041617435	-1.60796258463714	-0.776520413941762	1.9186488461808	-4.62541431512586	2.25443729902135	0.31369810647045	4.09655137165959	-0.428020708605479	-5.36668998347021	1.92974682466031	0.318359441520862	0.186205256475936	0.824103545348008	0.263771124708625	0.920285741647316
50	1.09337624192791	1.44860200301267	0.404965973293634	-1.01230208222862	2.32495538195053	-5.7435647671665	2.49957018511894	0.214047467688081	5.51960970589277	-0.427926529115261	-6.7974927282446	3.16522490268524	0.296296373636616	0.204887307565162	0.832990411651395	0.193578817016317	0.911605866068259
1170	0.907883169097058	0.566489112087807	1.18954107212606	0.825955031800273	1.78805659068057	-1.2984390709272	6.12888967740501	0.219568457778896	6.32439425185139	0.424453482777398	-1.41247819336395	10.3002279203202	0.315789541175888	0.107052357423783	0.78772256886807	0.213612082362082	0.914739320160192
161	-1.55367085546186	-1.31988849913114	-2.23732040029183	-0.957365111229111	2.07301715999325	-4.98987287929617	4.34162252364503	0.228002201597916	7.37973289556224	-0.421466102007314	-7.72558407196939	3.81025311753672	0.269531343029146	0.348184486360583	0.889398555641639	0.152440268065268	0.855131378345281
501	-0.675233148581722	-1.2231190690118	-0.557624140418003	0.721524408167731	1.75126111821591	-1.46625699011164	6.3914554340361	0.210214587221335	6.45845691723096	0.419775790519279	-2.17245817458795	11.4873663878489	0.298828201302579	0.0927534982929873	0.774830650886749	0.255713383838384	0.913480235194972
2	6.34057745049449	6.65767073850815	6.38155041019061	-0.49977647370527	1.17132610480343	-2.69991849936362	1.12605595781841	0.151674485149764	2.79589228360082	-0.409791041812116	-7.04203646278154	1.85727555179836	0.365234421196834	0.167262916617175	0.822909793065688	0.454448329448329	0.955142957265903
154	-2.4821993335505	-3.09947359946092	-1.61858532320516	1.14435738319183	2.53510913382645	-3.77525873575784	5.73493486298885	0.490762253013233	5.7360101469096	0.406262147759592	-2.47758402114739	4.76170134325659	0.282651156984055	0.230979441104545	0.845157224906304	0.241925262237762	0.910176058793787
1786	3.5912090257563	3.46559328510907	3.41465677729279	-0.27979308655429	0.711268899534978	-1.67076235628511	0.792374458298428	0.0778013160739717	1.33137433217828	-0.395512742747821	-6.40999835918938	3.31183651864116	0.351562551747701	0.259193700083928	0.85707772579118	0.396831293706294	0.951425929633163
15	5.38705432991318	5.15119422573996	5.45456363191543	0.356841430641204	0.864415814254026	-0.961510875498106	1.85763379148488	0.107745430536518	1.70104944828437	0.392409059947569	-3.14256076015459	6.75402741222079	0.373046918138304	0.348784035012458	0.895561586483944	0.437617764180264	0.954547261511455
1787	3.05323340272235	3.0667110439977	2.86142678867462	-0.326493381624521	0.865795187611029	-1.78556870307925	1.12276385643691	0.127410361784491	1.58090663529144	-0.389277196244873	-5.25826490107844	2.25477660298802	0.322265689671948	0.251825464114463	0.854835837990913	0.248929195804196	0.938481727959282
102	-0.783597131531564	-1.34021727533369	-0.709685798318269	0.424089152065826	1.0150841132574	-1.68088674708367	2.00563659386991	0.192812605082954	2.04411548830413	0.388638656114358	-2.8500306106267	4.03693448628641	0.337890682586451	0.322114068254507	0.874057162864733	0.377168317793318	0.939437645598363
122	0.550033623994059	0.33249056078012	0.907814264468139	0.73212523492831	1.714216049552	-1.87559659614347	4.0884567275682	0.180715051191624	3.85828073708941	0.388468587178334	-2.00805808145478	7.85334096035365	0.335282709580022	0.18546747060557	0.827262139598496	0.310752962315462	0.940873508502313
178	-4.62794290472933	-4.99087414174704	-4.19427560100551	1.09886236920761	2.48688100730541	-2.89184590838283	8.08909530496555	0.33166481294702	8.4929121266243	0.385828084244963	-2.48508028432166	7.31968419233466	0.324218813759705	0.215163459170939	0.816652369994373	0.320522533022533	0.901991949572804
140	-1.05386318045055	-1.05295021260706	-2.65295828965089	-1.00580446636326	2.68359351510263	-4.81755249575943	3.70578510097253	0.22480356463371	5.37108326659412	-0.378587555454644	-6.07270968378815	2.62372849313505	0.365234421196834	0.334306084866924	0.883790325849838	0.416190753690754	0.954367650838653
12	4.47203531230358	4.93080335526499	4.49972274136434	-0.495695039226903	1.16888399316656	-3.33302863999035	1.2932315451877	0.118605767872281	3.67992717017113	-0.37720003981775	-8.3017418932058	2.2454200324714	0.333984434313895	0.193187505298079	0.8262629996359	0.311869900932401	0.945713474672386
84	0.21339688055862	0.905303635126747	-0.0496513693793892	-0.771953344943117	1.60757567432291	-3.10600914049093	2.93612216273074	0.217736171966472	3.86711225293186	-0.376584469620164	-5.98179436807302	3.89497290605691	0.343079977145353	0.511219269569128	0.916261399853841	0.335312257187257	0.94999481672223
3	5.92652749283254	6.17927318217398	5.82900077913246	-0.738719453854541	1.5468918896831	-2.97380936070072	2.54164931070995	0.116383624189696	3.81481858479371	-0.375036172885482	-7.52189240870137	3.21553165314732	0.317738857980427	0.363341280197045	0.900492458481256	0.256993006993007	0.938429243157304
208	-5.6552860952949	-7.0536769747197	-5.67601922618345	1.98881284569146	4.58154420865937	-6.73425071552732	11.4054061398428	0.780613307715952	12.5837322522135	0.372716438590552	-2.3580200338987	5.13855132805264	0.34375005504604	0.294254807711403	0.846974816924587	0.374089452214452	0.91816656106592
44	2.41511603435174	3.00708343329474	2.57544166251502	-0.70404843453887	1.87421507573394	-3.45617513690379	3.04816368849684	0.131334274193312	4.06351039687645	-0.372216682668372	-6.19828420047427	4.76851931420692	0.380116999341048	0.3973425491889	0.906453884222134	0.43426452020202	0.954480014673302
46	1.46980767803387	2.13730980624795	1.03460859740034	-0.890108748194282	2.29684132667326	-3.94380703409576	4.3300303911136	0.161421942958695	5.01162114067512	-0.371712624279248	-7.1937397787109	5.03135953574802	0.362573146487904	0.541409290852778	0.920619372215864	0.411083187645688	0.951816866279492
85	1.45891663752066	1.7327629056205	1.27338263113881	-0.592071772892372	1.3536833600071	-3.4888160080799	1.46066349093116	0.187439094830946	3.66571069693059	-0.367174027692373	-6.34053150676552	2.37141437804291	0.335937558446692	0.208461912717824	0.832959869503415	0.298448426573427	0.944053029977658
983	3.04643451825252	3.9329649417202	3.04911922252069	-0.636435733165206	1.61957750541053	-3.10699324988269	2.49809496692493	0.202319748030077	3.4424920464744	-0.366445310235518	-5.85935554467331	2.80967557406686	0.376953166637119	0.353900161036826	0.897570068327649	0.466213820901321	0.957417337712909
